  super_book_code,  super_book_title,  keywords,  parisian_keyword,Illegality
spbk0010517,Traité conclu à Paris le 21 janvier 1718 ... concernant la Lorraine,,,Permitted work (permission simple)
spbk0010518,"Traité de la confiance en la miséricorde de dieu, par M. l'évêque de Soissons",,,Permitted work (permission simple)
spbk0010519,Traité de la mainmorte et des retraits,,,Permitted work (permission simple)
spbk0010520,Traité de la paix intérieure avec des lettres,,,Permitted work (permission simple)
spbk0010521,Traité de la perfection de l'état ecclésiastique,,,Permitted work (permission simple)
spbk0010522,"Traité de la subrogation, par de Renusson",,,Permitted work (permission simple)
spbk0010523,"Traité de l'amitié, par M' de Sacy",,,Permitted work (permission simple)
spbk0010524,Traité des gains nuptiaux et de survie qui sont en usage dans le pays de droit,,,Permitted work (permission simple)
spbk0010525,Traité des matières criminelles de la Combe,,,Permitted work (permission simple)
spbk0010526,"Traité des opérations de chirurgié, par Henri François le Dran",,,Permitted work (permission simple)
spbk0010527,Traité des successions,,,Permitted work (permission simple)
spbk0010528,Traité pratique de l'inoculation,,,Permitted work (permission simple)
spbk0010529,Transitus animae revertentis ad jugum sanctum Jesu Christi,,,Permitted work (permission simple)
spbk0010530,Trésor de l'âme dévote,,,Permitted work (permission simple)
spbk0010531,Trigonométrié astronomique et maritime,,,Permitted work (permission simple)
spbk0010532,Velleius Paterculus cum notis,,,Permitted work (permission simple)
spbk0010533,"Véritable motif  (le) de confiance que les fidèles doivent avoir dans la sainte vierge, etc ",,,Permitted work (permission simple)
spbk0010534,Vérités de la religion (les),,,Permitted work (permission simple)
spbk0010535,Vesperal (le) pour les laïques,,,Permitted work (permission simple)
spbk0010536,Vie (La) et la légende de saint Jean Baptiste avec celles de tous les apôtres,,,Permitted work (permission simple)
spbk0010537,Vie (La) et les vertus de la soeur Germaine d' Armaing,,,Permitted work (permission simple)
spbk0010538,Vie de Jésus Christ à l'usage des écoles,,,Permitted work (permission simple)
spbk0010539,Vie de M. Chauleau,,,Permitted work (permission simple)
spbk0010540,Vie de sainte Hélène (La),,,Permitted work (permission simple)
spbk0010541,Vie des saints (La) abrégée,,,Permitted work (permission simple)
spbk0010542,Vie des saints pour tous les jours de l'année,,,Permitted work (permission simple)
spbk0010543,"Vie des trois Maries (La), de leur mère, de leurs enfants et de leurs maris",,,Permitted work (permission simple)
spbk0010544,Vies des saints,,,Permitted work (permission simple)
spbk0010545,"Virginie, ou la Vierge chrétienne",,,Permitted work (permission simple)
spbk0010546,Visite au sainte sacrement et à la sainte vierge,,,Permitted work (permission simple)
spbk0010547,Voyage et retour de Saint-Cloud par mer et par terre,,,Permitted work (permission simple)
spbk0010548,"Voyages de Cirus [Cyrus], en anglais et en français",,,Permitted work (permission simple)
spbk0010549,Vraie méthode (la) pour enseigner à lire,,,Permitted work (permission simple)
spbk0010550,Dévotion au sacré coeur de Jésus,,,Permitted work (permission simple)
spbk0010551,"Retraites et réflexions, du père Croisset",,,Permitted work (permission simple)
spbk0010552,"Exercice de piété, par le père Eudes",,,Permitted work (permission simple)
spbk0010553,"Isocrates ad Nicodem, ad Demonicon, panegerica [ panegyrico] oratio",,,Permitted work (permission simple)
spbk0010554,"Traité des servitudes réelles, etc, par M. La Laure",,,Permitted work (permission simple)
spbk0010555,"Histoire du roi Henri le grand, par Mr Hardouin Péréfixe",,,Permitted work (permission simple)
spbk0010556,Elévation du chrétien malade et mourant,,,Permitted work (permission simple)
spbk0010557,Sermons du père Perrin,,,Permitted work (permission simple)
spbk0010558,Sermons choisis du révérend P.P.,,,Permitted work (permission simple)
spbk0010559,Il Morgante maggiore del Pulci,,,Permitted work (permission simple)
spbk0010560,Opéra (les) de Quinault,,,Permitted work (permission simple)
spbk0010561,Préceptes de rhétorique tirés Quintilien,,,Permitted work (permission simple)
spbk0010562,Recherches sur la nature et les causes de la richesse des nations,,,Permitted work (permission simple)
spbk0010563,"Parabolae evangelicae, [mysteriae et documenta Christi…] de Vallart",,,Permitted work (permission simple)
spbk0010564,"Mémoires de Marguerite de Valois, reine de France et de Navarre",,,Permitted work (permission simple)
spbk0010565,"Dialogues (les) de Venterre, latin et français",,,Permitted work (permission simple)
spbk0010566,Aurelius Victor,,,Permitted work (permission simple)
spbk0010567,"Art (l') de precher, par l'abbé de Villiers",,,Permitted work (permission simple)
spbk0010568,Fondemens de la vie spirituelle [tirés du livre de l'Imitation de Jésus Christ],,,Permitted work (permission simple)
spbk0010569,Bible (Catholic editions),,,Permitted work (permission simple)
zspbk0010574,Apocrypha (Catholic editions) [Bible],,,
zspbk0010575,Apocrypha (Other denominational editions)  [Bible],,,
zspbk0010576,Apocrypha (Protestant editions) [Bible],,,
zspbk0010577,Apocrypha (Unknown denomination)  [Bible],,,
zspbk0010578,Bible (Other denominational editions),,,
zspbk0010579,Bible (Unknown denomination),,,
zspbk0010580,Bible stories / Selections from the Bible (Other denominational editions),,,
zspbk0010581,Bible stories / Selections from the Bible (Protestant editions),,,
zspbk0010582,Bible stories / Selections from the Bible (Unknown denominations),,,
zspbk0010583,Gospels / Evangiles (Catholic editions)  [Bible],,,
zspbk0010584,Gospels / Evangiles (Other denominational editions)  [Bible],,,
zspbk0010585,Gospels / Evangiles (Protestant editions)  [Bible],,,
zspbk0010586,Gospels / Evangiles (Unknown denomination)  [Bible],,,
zspbk0010587,Miscellanous Biblical books or sections (Protestant editions)  [Bible],,,
zspbk0010588,Miscellanous Biblical books or sections (Catholic editions)  [Bible],,,
zspbk0010589,Miscellanous Biblical books or sections (Other denominational editions) [Bible],,,
zspbk0010590,Miscellanous Biblical books or sections (Unknown denomination) [Bible],,,
zspbk0010591,New Testament / Nouveau Testament (Other denominational editions)  [Bible],,,
zspbk0010592,New Testament / Nouveau Testament (Unknown denomination)  [Bible],,,
zspbk0010593,Old Testament / Ancien Testament (Other denominational editions)  [Bible],,,
zspbk0010594,Old Testament / Ancien Testament (Protestant editions)  [Bible],,,
zspbk0010595,Old Testament / Ancien Testament (Unknown denomination)  [Bible],,,
zspbk0010596,Psalms / Psaumes / Psautier (Other denominational editions)  [Bible],,,
zspbk0010597,Psalms / Psaumes / Psautier (Unknown denomination)  [Bible],,,
zspbk0010598,Tanakh (Hebrew editions)  [Bible],,,
zspbk0010599,Torah [Pentateuch] (Hebrew editions)  [Bible],,,
zspbk0010600,Children's Bible (Catholic editions),,,
zspbk0010601,Children's Bible (Protestant editions),,,
zspbk0010602,Children's Bible (Other demoninational editions),,,
zspbk0010603,Children's Bible (Unknown demonination),,,
