  super_book_code,  super_book_title,  keywords,  parisian_keyword,Illegality
spbk0004155,Nouvel abrégé chronologique de l'histoire de France,,,Permitted work (permission simple)
spbk0004182,"Caloandre (le) fidèle, etc",,,Permitted work (permission simple)
spbk0004216,Gradus ad Parnassum,,,Permitted work (permission simple)
spbk0004222,"Caroline de Lichtfield, par Made***, publié par le traducteur de Wether",,,Permitted work (permission simple)
spbk0004287,"Entretiens sur la pluralité des mondes, par M. de Fontenelle",,,Permitted work (permission simple)
spbk0004313,Journée du chrétien sanctifiée par la prière,,,Permitted work (permission simple)
spbk0004314,Ange (l') conducteur dans la dévotion chrétienne,,,Permitted work (permission simple)
spbk0004373,Oeuvres de Vadé,,,Permitted work (permission simple)
spbk0004376,"Aminta, favola boscareccia di Torquato Tasso",,,Permitted work (permission simple)
spbk0004405,"Poème de la religion, par Racine",,,Permitted work (permission simple)
spbk0004496,Cyropédie de Xénophon,,,Permitted work (permission simple)
spbk0004573,"Considérations sur les causes de la grandeur des Romains et de leur décadence, par M. le P.t [président] de Montesquieu; a 'Nouvelle édition, avec le Dialogue de S[c]illa et d;Eucrate'",,,Permitted work (permission simple)
spbk0004625,"Histoire de Pierre Terrail, dit le chevalier Bayard, par M. Guyard de Berille",,,Permitted work (permission simple)
spbk0004637,Mémoires de Forbin,,,Permitted work (permission simple)
spbk0004667,Siècle de Louis XIV avec un précis du siècle de Louis XV,,,Permitted work (permission simple)
spbk0004708,"Nouveau dictionnaire historique portatif, ou Histoire abrégée de tous les hommes qui se sont fait un nom par des talens, des vertus des fortaits, des erreurs, etc., depuis le commencement du monde jusqu'à nos jours, avec les tables chronologiques, etc",,,Permitted work (permission simple)
spbk0004722,Chefs d'oeuvres (les) dramatiques de Voltaire,,,Permitted work (permission simple)
spbk0004723,Oraisons funèbres de Fléchier et Bossuet,,,Permitted work (permission simple)
spbk0004726,"Traduction de Velleius Paterculus, par M. Paul",,,Permitted work (permission simple)
spbk0004738,Connoissance de la mithologie [mythologie] par demandes et par résponses,,,Permitted work (permission simple)
spbk0004740,"Ecolier (l') vertueux, ou Vie édifiante, etc",,,Permitted work (permission simple)
